id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
gen_mrp,gen_mrp,model_gen_mrp,,1,1,1,1
gen_invoice,gen_invoice,model_gen_invoice,,1,1,1,1
gen_journal_entry,gen_journal_entry,model_gen_journal_entry,,1,1,1,1
gen_partner,gen_partner,model_gen_partner,,1,1,1,1
gen_salepayment,gen_salepayment,model_gen_salepayment,,1,1,1,1
import_picking,import_picking,model_import_picking,,1,1,1,1
import_vendor_pricelist,import_vendor_pricelist,model_import_vendor_pricelist,,1,1,1,1
import_sale_pricelist,import_sale_pricelist,model_import_sale_pricelist,,1,1,1,1
import_product_pricelist,import_product_pricelist,model_import_product_pricelist,,1,1,1,1
gen_product,gen_product,model_gen_product,,1,1,1,1
gen_product_variant,gen_product_variant,model_gen_product_variant,,1,1,1,1
gen_purchase,gen_purchase,model_gen_purchase,,1,1,1,1

gen_suppinfo,gen_suppinfo,model_gen_suppinfo,,1,1,1,1

account_bank_statement_wizard,account_bank_statement_wizard,model_account_bank_statement_wizard,,1,1,1,1
import_invoice_wizard,import_invoice_wizard,model_import_invoice_wizard,,1,1,1,1
import_po_line_wizard,import_po_line_wizard,model_import_po_line_wizard,,1,1,1,1

